facility_name,site_code,operator_name,operator_parent,country,metro,city,address,it_capacity_mw,colo_cages,private_cabinets,partial_cabinets,bare_metal,remote_hands,public_cloud,certifications,leaseable_signal,nearest_facilities,operator_website,facility_url,datacenters_com_url,cloudscene_url,relevance_score,relevance_reason,tags,confidence,exclude_from_outreach,scraped_at,source_url,notes
Advantun Benavidez,,Advantun,,Argentina,Buenos Aires,B1621KSQBenavidez,Ituzaingó 3367,,False,True,True,False,False,False,,Yes,ARSAT Buenos Aires (2.42 km); Advantun Talar (5.43 km); Telecom Pacheco (6.64 km); Kyndryl Martinez-Buenos Aires (18.47 km); Latincloud Buenos Aires (20.73 km),https://www.datacentermap.com/visit/datacenter/advantun-benavidez/,https://www.datacentermap.com/argentina/buenos-aires/advantun-benavidez/,,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:55:55Z,https://www.datacentermap.com/argentina/buenos-aires/advantun-benavidez/,"Operator HQ: Rincón de Milberg, Buenos Aires. Services offered: Private Cabinets, Partial Cabinets, Individual Servers."
Advantun Talar,,Advantun,,Argentina,Buenos Aires,B1610ATWRicardo Rojas,Cnel. Vilela 3033,,False,True,True,False,False,False,,Yes,Telecom Pacheco (1.29 km); Advantun Benavidez (5.43 km); ARSAT Buenos Aires (5.94 km); Kyndryl Martinez-Buenos Aires (15.68 km); Latincloud Buenos Aires (17.57 km),https://www.datacentermap.com/visit/datacenter/advantun-talar/,https://www.datacentermap.com/argentina/buenos-aires/advantun-talar/,,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:56:00Z,https://www.datacentermap.com/argentina/buenos-aires/advantun-talar/,"Operator HQ: Rincón de Milberg, Buenos Aires. Services offered: Private Cabinets, Partial Cabinets, Individual Servers."
Advantun Zarate,,Advantun,,Argentina,Buenos Aires,B2800Zárate,_within Parque Industrial de Zarate_,,False,True,True,False,False,False,,Yes,,https://www.datacentermap.com/visit/datacenter/advantun-zarate/,https://www.datacentermap.com/argentina/buenos-aires/advantun-zarate/,,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:56:05Z,https://www.datacentermap.com/argentina/buenos-aires/advantun-zarate/,"Operator HQ: Rincón de Milberg, Buenos Aires. Services offered: Private Cabinets, Partial Cabinets, Individual Servers."
Cirion BUE1,BUE1,Cirion,,Argentina,Buenos Aires,C1427 Buenos Aires,Av. del Campo 1301,,True,True,True,True,True,True,,Yes,Gigared Data Center (0.57 km); Claro Data Center Olleros (2.67 km); Neolo Datacenter (2.9 km); Telecom Estomba (3.08 km); BAEHOST Web Hosting & Cloud (3.34 km),https://www.datacentermap.com/visit/datacenter/cirion-bue1/,https://www.datacentermap.com/argentina/buenos-aires/cirion-bue1/,https://www.datacenters.com/cirion-technologies-bue1,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:56:36Z,https://www.datacentermap.com/argentina/buenos-aires/cirion-bue1/,"Operator HQ: Miami, Florida. Services offered: Suites, Cages, Private Cabinets, Partial Cabinets, Remote Hands, Bare Metal Servers, Public Cloud Servers. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
Claro Data Center Olleros,,Claro,,Argentina,Buenos Aires,C1426Buenos Aires,Olleros 2770,,True,True,True,False,True,True,Tier 3,Yes,Neolo Datacenter (0.26 km); Allytech Data Center (1.69 km); BAEHOST Web Hosting & Cloud (1.83 km); Cirion BUE1 (2.67 km); Gigared Data Center (2.73 km),https://www.datacentermap.com/visit/datacenter/claro-data-center-olleros/,https://www.datacentermap.com/argentina/buenos-aires/claro-data-center-olleros/,https://www.datacenters.com/providers/claro/data-center-locations,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:56:41Z,https://www.datacentermap.com/argentina/buenos-aires/claro-data-center-olleros/,"Operator HQ: , México. Services offered: Cages, Private Cabinets, Partial Cabinets, Remote Hands, Public Cloud Servers. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
Claro Data Center San Telmo,,Claro,,Argentina,Buenos Aires,C1407 Cdad. Autónoma de Buenos Aires,Brasil 77-97,,True,True,True,False,True,True,,Yes,SKYONLINE (1.36 km); SyT Datacenter (2.37 km); IFX Belgrano (2.39 km); IPXON Buenos Aires (2.39 km); Prisma Medios de Pago DC (3.66 km),https://www.datacentermap.com/visit/datacenter/claro-data-center-san-telmo/,https://www.datacentermap.com/argentina/buenos-aires/claro-data-center-san-telmo/,https://www.datacenters.com/providers/claro/data-center-locations,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:56:46Z,https://www.datacentermap.com/argentina/buenos-aires/claro-data-center-san-telmo/,"Operator HQ: , México. Services offered: Cages, Private Cabinets, Partial Cabinets, Remote Hands, Public Cloud Servers. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
EdgeConneX Buenos Aires - EDCBUE01,,EdgeConneX,,Argentina,Buenos Aires,Parque Industrial Pilar,Calle del Canal 308,,True,True,True,False,True,True,,Yes,ARSAT Buenos Aires (21.84 km); Advantun Benavidez (24.26 km); Advantun Talar (25.05 km); Telecom Pacheco (25.85 km); Waugi Cloud - KM37 (28.4 km),https://www.datacentermap.com/visit/datacenter/edgeconnex-bue01/,https://www.datacentermap.com/argentina/buenos-aires/edgeconnex-bue01/,,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, Edge, MultiSiteOperator",High,False,2026-08-07T23:56:51Z,https://www.datacentermap.com/argentina/buenos-aires/edgeconnex-bue01/,"Operator HQ: Herndon, Virginia. Services offered: Suites, Cages, Private Cabinets, Partial Cabinets, Individual Servers, Remote Hands, Public Cloud Servers."
IPXON Buenos Aires,EZE1,IPXON Networks,,Argentina,Buenos Aires,C1093AAQBuenos Aires,Av. Belgrano 1586,,False,True,True,False,True,False,,Yes,IFX Belgrano (0.01 km); SyT Datacenter (1.13 km); SKYONLINE (1.64 km); Claro Data Center San Telmo (2.39 km); Prisma Medios de Pago DC (3.13 km),https://www.datacentermap.com/visit/datacenter/ipxon-buenos-aires/,https://www.datacentermap.com/argentina/buenos-aires/ipxon-buenos-aires/,https://www.datacenters.com/providers/ipxon-networks,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:57:32Z,https://www.datacentermap.com/argentina/buenos-aires/ipxon-buenos-aires/,"Operator HQ: Cordoba, Cordoba. Services offered: Private Cabinets, Partial Cabinets, Individual Servers, Remote Hands. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
NextStream Barracas,,NextStream,,Argentina,Buenos Aires,Buenos Aires,Osvaldo Cruz 2890,,False,True,True,False,False,False,,Yes,NextStream Velez (0.08 miles); Ringo DCI (1.38 miles); Prisma Medios de Pago DC (1.39 miles); Fiserv DC – Buenos Aires (1.95 miles); Claro Data Center San Telmo (2.4 miles),https://www.datacentermap.com/visit/datacenter/nabiax-barracas/,https://www.datacentermap.com/argentina/buenos-aires/nabiax-barracas/,https://www.datacenters.com/providers/nextstream,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:57:46Z,https://www.datacentermap.com/argentina/buenos-aires/nabiax-barracas/,"Operator HQ: London, United Kingdom. Services offered: Suites, Footprints, Private Cabinets, Partial Cabinets. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
NextStream Velez,,NextStream,,Argentina,Buenos Aires,C1279ACA Buenos Aires,Cruz del Sud 2943,,False,True,True,False,False,False,,Yes,NextStream Barracas (0.13 km); Ringo DCI (2.22 km); Prisma Medios de Pago DC (2.26 km); Fiserv DC – Buenos Aires (3.14 km); Claro Data Center San Telmo (3.99 km),https://www.datacentermap.com/visit/datacenter/nextstream-velez/,https://www.datacentermap.com/argentina/buenos-aires/nextstream-velez/,https://www.datacenters.com/providers/nextstream,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:57:57Z,https://www.datacentermap.com/argentina/buenos-aires/nextstream-velez/,"Operator HQ: London, United Kingdom. Services offered: Suites, Footprints, Private Cabinets, Partial Cabinets. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
